text,label,categories
"Los previos son increíblemente DIFÍCILES. Vi que casi todos en mi clase sacaban 2.0. El libro es uno que él mismo escribió y está lleno de errores. Las clases eran una mamera. NO tiene presentaciones ni apuntes, así que si eres visual, ni te molestes. Aunque es buen tipo.",MEDIO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"No sabe como enseñar fuera de ingenieria. La fisica basica se volvio re compleja. Cambia de unidades como 4 veces por punto en los examenes y cambia de metricas a gringas. Es muy confuso, paila ahi.",MEDIO,DESARROLLO DEL CONOCIMIENTO | PROCESOS DE EVALUACIÓN
"Es un gran profesor. Te dice las cosas como son (si tu trabajo es una basura, te lo hace saber); si no te aguantas eso, estas en la carrera equivocada. El profe es gracioso y ayuda mucho. Toma apuntes y estaras bien. ¡NO LLEGUES TARDE!",BAJO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
"Califica muy duro y no es claro en las tareas. Se cree muy inteligente y espera que uno entienda todo a la primera. La clase pudo ser interesante pero el la arruino. Ah, y NO le diga que es deportista, le clava mala nota de una.",ALTO,PROCESOS DE EVALUACIÓN | INTEGRACIÓN INTERPERSONAL
A pesar de que llega tarde 5 minutos a clase siempre esta para los estudiantes. Te hace un seguimiento y tiene actitud para ayudarte a mejorar. Es un coño pana cuando echa cuentos en clase. Vale la pena ver la materia con el.,BAJO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
"Lo tuve en Intro. Sus clases son un desorden y no se le entiende nada, el cuchi se enreda facil. De paso, te obliga a comprar sus propios libros que valen 500 mil pesos y con eso pasas la materia, definitivamente 0 docencia.",ALTO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
"¡Terrible profesor! La peor clase, no tenia sentido ir porque nunca hablaba de la materia. Pierde el hilo y le toca leer el libro. Habla mucho de Toronto donde estudio. Los previos son una tonteria, nadie sabia que estudiar. Tengan cuidado.",MEDIO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"La profe es buena, la clase se vuelve parchada. Respecto al trabajo en clase es un poco pesa pq deja mucha tarea y hasta para grabar videos. De resto, es buena profesora, hay que estudiarle bastante.",BAJO,DESEMPEÑO DOCENTE
No dio comentarios constructivos sobre las tareas que pudieran ser utiles para mejorar.,MEDIO,PROCESOS DE EVALUACIÓN
"Ella es super estricta con todo. No es la que enseña, pero se pasa por ahi regularmente. ¡VEA LOS VIDEOS! Hace quizzes de eso y busque los previos viejos porque reutiliza el material.",BAJO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"El profe es panita, pero a veces se enreda explicando, principalmente en los laboratorios, aunque puede hacer que la clase sea entretenida.",BAJO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"El profesor es muy agradable y trata de ayudar, pero siento que esta materia esta muy por debajo de lo que el sabe.",BAJO,DESARROLLO DEL CONOCIMIENTO | INTEGRACIÓN INTERPERSONAL
"La profe es de las mejores que hay. Soy malisimo en biologia, pero saque mas de 3.0 en los primeros dos previos porque sus clases son completas. Parece una jefa total. Volvere a comentar al final.",BAJO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"Clase maluca, aburrida, desactualizada y explicaciones de mierda. Me toco aprender por mi cuenta con el libro, esa clase es mas inutil q ambientador de moto. Pura perdedera de tiempo.",MEDIO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
Dio las clases muy rapido porque se enfoco en los que ya sabian del tema o venian de colegios tecnicos. Me prepare leyendo el capitulo pero fue inutil. Les enseño a 8 o 9 que ya sabian y a nosotros nos dejo tirados.,MEDIO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"El curso es horrible, sinceramente lo odie. La forma en q interactuaba con los estudiantes era grosera. Le falta mucha humildad, siempre lo hace con una prepotencia y un ego por delante.",ALTO,INTEGRACIÓN INTERPERSONAL
"Esta reseña es para una clase virtual. Tienes que dedicarle tiempo a leer. No es una materia dificil pero debes esforzarte. Recomiendo mucho la clase en linea, es poner en practica lo que aprendes.",BAJO,DESEMPEÑO DOCENTE
"Estuvo bien, algunas clases no fueron muy claras y a veces parecia falto de entusiasmo, pero no estuvo mal el profe.",BAJO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"A facil. La meti en vacacionales de 5 semanas. Hay como 300 problemas a la semana en la plataforma mas la tarea. Si usas todos los recursos, veras que las respuestas estan frente a tus narices.",BAJO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"Sali de esa clase sin aprender nada. Hace previos sorpresa, toca leer esos libros aburridisimos. El es gracioso pero solo vimos videos de Youtube. Lo poquito que uno hace lo califica durisimo y es re confuso con las tareas.",MEDIO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"Esta materia no es dificil de pasar, pero si de tolerar. Imposible escuchar a este man y es un visaje ir a la oficina. El contenido es bacano, pero toque usar diccionario en clase para entenderle lo que habla.",MEDIO,DESARROLLO DEL CONOCIMIENTO | INTEGRACIÓN INTERPERSONAL
Fue una buena profesora. Uno puede preguntar de todo. A veces es un poco desordenada pero ayuda mucho. Volveria a ver clases con ella.,BAJO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
"¡Profesor increible, gran personalidad! ¡No lo puedo recomendar mas, es un teso!",BAJO,INTEGRACIÓN INTERPERSONAL
"¡Horrible profesor! Si uno pregunta sale con que ""creo que si"" o que no da ejemplos por falta de tiempo... Pero se gasta una semana en la intro de cada capitulo. Nadie le para bolas, lo unico bueno es que le hace curva a los previos.",MEDIO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"Experiencia paila. No me trama leer y leimos resto. No califica suave. La participacion vale, pero el man se la pasa quejandose de cosas que nada que ver. Clase muy aburrida.",MEDIO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"Hagale un favor a todo el mundo (y a usted mismo) y jubilese de una vez, tonto toche.",MEDIO,INTEGRACIÓN INTERPERSONAL
"Si alguna vez ha pensado en salirse de la U, esta clase va a hacer que por fin lo haga.",MEDIO,DESEMPEÑO DOCENTE
"Si uno no es mujer el man no ayuda, eso dice mucho de ese profesor.",ALTO,INTEGRACIÓN INTERPERSONAL
